Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS
Lee,Carlos,692,CHW,AL,658,31,99,11,0.305,0.891
Lee,Derrek,694,CHC,NL,688,32,98,12,0.278,0.86
Lieberthal,Mike,709,PHI,NL,529,17,61,1,0.271,0.783
Lopez,Javy,731,BAL,AL,638,23,86,0,0.316,0.872
Loretta,Mark,738,SDP,NL,707,16,76,5,0.335,0.886
Lowell,Mike,740,FLA,NL,671,27,85,5,0.293,0.87
Lo Duca,Paul,719,TOT,NL,594,13,80,4,0.286,0.758
Lugo,Julio,743,TBD,AL,655,7,75,21,0.275,0.734
Mackowiak,Rob,749,PIT,NL,555,17,75,13,0.246,0.739
Martinez,Victor,774,CLE,AL,591,23,108,0,0.283,0.851
Matsui,Hideki,782,NYY,AL,680,31,108,3,0.298,0.912
Miles,Aaron,821,COL,NL,566,6,47,12,0.293,0.697
Millar,Kevin,822,BOS,AL,588,18,74,1,0.297,0.857
Mora,Melvin,842,BAL,AL,636,27,104,11,0.34,0.981
Nevin,Phil,873,SDP,NL,623,26,105,0,0.289,0.859
Olerud,John,893,TOT,AL,500,9,48,0,0.259,0.733
Overbay,Lyle,914,MIL,NL,668,16,87,2,0.301,0.863
Palmeiro,Rafael,919,BAL,AL,651,23,88,2,0.258,0.796
Patterson,Corey,923,CHC,NL,687,24,72,32,0.266,0.771
Payton,Jay,928,SDP,NL,511,8,55,2,0.26,0.693
Pena,Carlos,932,DET,AL,562,27,82,7,0.241,0.81
Pierre,Juan,964,FLA,NL,748,3,49,45,0.326,0.781
Podsednik,Scott,967,MIL,NL,713,12,39,70,0.244,0.677
Polanco,Placido,968,PHI,NL,555,17,55,7,0.298,0.786
Posada,Jorge,973,NYY,AL,547,21,81,1,0.272,0.881
Pujols,Albert,982,STL,NL,692,46,123,5,0.331,1.072
Ramirez,Aramis,993,CHC,NL,606,36,103,0,0.318,0.951
Ramirez,Manny,997,BOS,AL,663,43,130,2,0.308,1.009
Randa,Joe,998,KCR,AL,539,8,56,0,0.287,0.751
Redman,Tike,1005,PIT,NL,581,8,51,18,0.28,0.684
Renteria,Edgar,1014,STL,NL,642,10,72,17,0.287,0.728
Roberts,Brian,1035,BAL,AL,736,4,53,29,0.273,0.72
Rodriguez,Alex,1044,NYY,AL,698,36,106,28,0.286,0.888
Rodriguez,Ivan,1050,DET,AL,575,19,86,7,0.334,0.893
Rolen,Scott,1053,STL,NL,593,34,124,4,0.314,1.007
Rollins,Jimmy,1054,PHI,NL,725,14,73,30,0.289,0.803
Rowand,Aaron,1062,CHW,AL,534,24,69,17,0.31,0.905
Sheffield,Gary,1096,NYY,AL,684,36,121,5,0.29,0.927
Soriano,Alfonso,1118,TEX,AL,658,28,91,18,0.28,0.807
Sosa,Sammy,1120,CHC,NL,539,35,80,0,0.253,0.849
Suzuki,Ichiro,1143,SEA,AL,762,8,60,36,0.372,0.869
Teixeira,Mark,1156,TEX,AL,625,38,112,4,0.281,0.929
Tejada,Miguel,1157,BAL,AL,725,34,150,4,0.311,0.894
Thome,Jim,1165,PHI,NL,618,42,105,0,0.274,0.977
Tracy,Chad,1181,ARI,NL,532,8,53,2,0.285,0.75
Tucker,Michael,1185,SFG,NL,547,13,62,5,0.256,0.765
Uribe,Juan,1190,CHW,AL,553,23,74,9,0.283,0.833
Valentin,Jose,1199,CHW,AL,504,30,70,8,0.216,0.76
Varitek,Jason,1206,BOS,AL,536,18,73,10,0.296,0.872
Vizquel,Omar,1218,CLE,AL,651,7,59,19,0.291,0.741
Wells,Vernon,1244,TOR,AL,590,23,67,9,0.272,0.809
Wigginton,Ty,1256,TOT,NL,545,17,66,7,0.261,0.757
Wilkerson,Brad,1259,MON,NL,688,32,67,13,0.255,0.872
Wilson,Craig,1268,PIT,NL,644,29,82,2,0.264,0.853
Wilson,Jack,1271,PIT,NL,693,11,59,8,0.308,0.794
Winn,Randy,1278,SEA,AL,703,14,81,21,0.286,0.772
Womack,Tony,1283,STL,NL,606,5,38,26,0.307,0.735
Young,Michael,1300,TEX,AL,739,22,99,12,0.313,0.836
