Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP,WinPercentage
Rios,Alex,1051,TOT,AL,633,17,71,24,0.247,0.691,0.318,0.8,128,125,-1,OF,0,
Rivera,Juan,1055,LAA,AL,572,25,88,0,0.287,0.81,0.361,3.8,158,155,-12,2B,0,0.636
Roberts,Brian,1059,BAL,AL,717,16,79,30,0.283,0.807,0.361,3.0,127,125,11,3B,0,0.401
Rolen,Scott,1078,TOT,MLB,535,11,67,5,0.305,0.823,0.367,5.2,155,152,-4,SS,0,
Rollins,Jimmy,1081,PHI,NL,725,21,77,31,0.25,0.719,0.329,1.8,151,149,-11,OF-P,0,0.574
Ross,Cody,1089,FLA,NL,604,24,90,5,0.27,0.79,0.35,2.4,137,133,2,OF,0,0.525
Rowand,Aaron,1091,SFG,NL,546,15,64,4,0.261,0.738,0.332,0.9,148,147,-5,3B-1B-C,0,0.432
Sandoval,Pablo,1122,SFG,NL,633,25,90,5,0.33,0.943,0.412,4.3,144,128,-10,2B-OF,0,0.432
Schumaker,Skip,1137,STL,NL,586,4,35,2,0.303,0.757,0.352,1.6,143,143,14,SS-2B,0,0.531
Scutaro,Marco,1139,TOR,AL,680,12,60,14,0.282,0.789,0.36,5.4,145,143,-3,OF,0,0.528
Span,Denard,1175,MIN,AL,676,8,68,23,0.311,0.807,0.365,3.8,145,145,13,OF,0,0.537
Suzuki,Kurt,1199,OAK,AL,614,15,88,8,0.274,0.734,0.333,3.4,135,132,2,C,0,0.481
Suzuki,Ichiro,1198,SEA,AL,678,11,46,26,0.352,0.851,0.371,4.7,132,121,1,OF,0,0.385
Sweeney,Ryan,1202,OAK,AL,534,6,53,6,0.293,0.755,0.346,3.0,144,140,2,OF-1B-P,0,0.481
Swisher,Nick,1204,NYY,AL,607,29,82,0,0.249,0.869,0.377,1.9,143,139,-13,3B-OF-1B-2B,0,0.543
Teahen,Mark,1216,KCR,AL,571,12,50,8,0.271,0.734,0.333,-0.2,152,150,5,1B,0,0.463
Teixeira,Mark,1217,NYY,AL,707,39,122,2,0.292,0.948,0.406,5.3,158,157,-19,SS,0,0.543
Tejada,Miguel,1218,HOU,NL,674,14,86,5,0.313,0.795,0.358,1.9,151,147,4,SS,0,0.534
Theriot,Ryan,1222,CHC,NL,677,7,54,21,0.284,0.712,0.324,1.1,151,148,13,SS,0,0.599
Tulowitzki,Troy,1246,COL,NL,628,32,92,20,0.297,0.93,0.404,6.5,158,157,-10,2B,0,0.463
Uggla,Dan,1249,FLA,NL,668,31,90,2,0.243,0.813,0.361,2.1,144,141,13,OF,0,0.525
Upton,B.J.,1250,TBR,AL,626,11,55,42,0.241,0.686,0.317,1.1,136,134,12,OF,0,0.586
Upton,Justin,1251,ARI,NL,588,26,86,20,0.3,0.899,0.393,4.0,155,154,10,2B,0,0.516
Utley,Chase,1253,PHI,NL,687,31,93,23,0.282,0.905,0.41,8.2,149,149,-11,OF,0,0.574
Victorino,Shane,1274,PHI,NL,694,10,62,25,0.292,0.803,0.366,3.7,130,128,-2,1B,0,0.574
Votto,Joey,1284,CIN,NL,544,25,84,4,0.322,0.981,0.431,4.8,155,153,-9,OF,0,0.457
Wells,Vernon,1311,TOR,AL,684,15,66,17,0.26,0.711,0.324,0.9,157,152,-2,OF,0,0.528
Werth,Jayson,1312,PHI,NL,676,36,99,20,0.268,0.879,0.394,4.5,146,135,19,OF,0,0.574
Winn,Randy,1334,SFG,NL,597,2,51,16,0.262,0.671,0.314,1.3,142,142,-14,3B,0,0.432
Wright,David,1344,NYM,NL,618,10,72,27,0.307,0.837,0.38,3.2,135,135,9,1B-3B-OF,0,0.562
Youkilis,Kevin,1349,BOS,AL,588,27,94,7,0.305,0.961,0.42,6.6,134,134,-7,3B,0,0.586
Young,Michael,1355,TEX,AL,593,22,68,8,0.322,0.892,0.394,2.8,154,153,4,3B,0,0.488
Zimmerman,Ryan,1362,WSN,NL,694,33,106,2,0.292,0.888,0.388,7.3,149,134,12,2B-OF-SS-1B-3B,0,0.364
Zobrist,Ben,1365,TBR,AL,599,27,91,17,0.297,0.948,0.412,8.6,149,134,12,2B-OF-SS-1B-3B,0,0.586
