Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR
68,Carlos Beltrán#,NYM,NL,650,16,78,17,0.266,0.744,7,0,,P,0.354,
69,Adrián Beltré,SEA,AL,650,19,87,3,0.255,0.716,60,5,,P,0.295,0
70,Armando Benitez,SFG,NL,0,0,0,0,,,150,148,5,3B,0.307,0.9
71,Gary Bennett,WSN,NL,228,1,21,0,0.221,0.569,42,0,,P,0.256,0
72,Joaquín Benoit,TEX,AL,1,0,0,0,0,0,8,3,,P,0.36,
73,Kris Benson,NYM,NL,61,0,6,0,0.184,0.477,91,86,4,2B-3B-SS,0.329,0.5
74,Chad Bentz,FLA,NL,0,0,0,0,,,141,139,9,2B,0.336,4.5
75,Jason Bergmann,WSN,NL,4,0,0,0,0.333,0.833,150,149,5,OF,0.216,2.9
76,William Bergolla,CIN,NL,38,0,1,0,0.132,0.263,155,155,1,3B,0.311,3.2
77,Lance Berkman#,HOU,NL,565,24,82,4,0.293,0.934,30,0,,P,0.237,0
78,Adam Bernero,ATL,NL,2,0,0,0,1,2,64,57,-1,C,0.271,-1.1
79,Angel Berroa,KCR,AL,652,11,55,7,0.27,0.68,32,9,,P,0.3,0
80,Rafael Betancourt,CLE,AL,0,0,0,0,,,28,28,,P,0.29,0.3
81,Yuniesky Betancourt,SEA,AL,228,1,15,1,0.256,0.666,4,0,,P,0.314,0
82,Wilson Betemit#,ATL,NL,274,4,20,1,0.305,0.794,15,1,,P,0.228,0.1
83,Larry Bigbie*,TOT,MLB,304,5,23,5,0.239,0.647,10,6,1,2B-SS,0.09,-0.4
84,Larry Bigbie*,BAL,AL,234,5,21,3,0.248,0.688,129,129,-6,1B-OF,0,3.2
85,Larry Bigbie*,COL,NL,70,0,2,2,0.212,0.515,36,0,,P,0.43,0.1
86,Craig Biggio,HOU,NL,651,26,69,11,0.264,0.792,159,159,-8,SS,0.308,-0.5
87,Casey Blake,CLE,AL,583,23,58,4,0.241,0.746,54,0,,P,0.286,0
88,Hank Blalock*,TEX,AL,705,25,92,1,0.263,0.749,60,58,-2,SS-2B,0.303,0.4
89,Andrés Blanco#,KCR,AL,86,0,5,0,0.215,0.46,86,57,1,3B-SS-2B,0.199,1.5
90,Henry Blanco,CHC,NL,178,6,25,0,0.242,0.679,77,75,-5,OF,0.384,-0.4
91,Tony Blanco,WSN,NL,65,1,7,1,0.177,0.49,141,141,-2,2B,0.23,2.1
92,Joe Blanton,OAK,AL,4,0,0,0,0.333,0.667,144,143,7,OF-3B-1B,0.312,2
93,Willie Bloomquist,SEA,AL,267,0,22,14,0.257,0.622,158,156,-4,3B,0.371,0.3
94,Geoff Blum#,TOT,MLB,351,6,25,3,0.229,0.641,26,24,-3,2B-SS,0.372,-0.5
95,Geoff Blum#,SDP,NL,252,5,22,3,0.241,0.696,54,48,6,C,0,0.8
96,Geoff Blum#,CHW,AL,99,1,3,0,0.2,0.506,18,6,-3,OF-1B-3B,0,-0.9
97,Hiram Bocachica,OAK,AL,19,0,0,0,0.105,0.211,33,33,,P,0.13,0
98,Jeremy Bonderman,DET,AL,6,0,0,0,0,0,75,64,-5,2B-SS-OF-3B-1B,0.329,1
99,Barry Bonds*,SFG,NL,52,5,10,0,0.286,1.071,93,77,1,3B-2B-SS-1B,0,-0.1
100,Chris Booker,CIN,NL,0,0,0,0,,,8,5,0,OF-3B,0,-0.1
101,Aaron Boone,CLE,AL,565,16,60,9,0.243,0.677,29,29,,P,0.355,-0.1
102,Bret Boone,TOT,AL,360,7,37,4,0.221,0.639,13,13,0,OF,0.622,0.6
103,Bret Boone,SEA,AL,302,7,34,4,0.231,0.684,3,0,,P,0,0
104,Bret Boone,MIN,AL,58,0,3,0,0.17,0.411,142,139,-3,3B,0.331,1.5
105,Joe Borchard#,CHW,AL,12,0,0,0,0.417,1,88,88,-12,2B,0.138,-2.1
106,Pat Borders,SEA,AL,125,1,7,0,0.197,0.493,5,2,,P,0.299,
107,Joe Borowski,TOT,MLB,0,0,0,0,,,2,0,0,OF,0,0
108,Joe Borowski,CHC,NL,0,0,0,0,,,39,37,-1,C,0.163,-0.4
109,Ricky Bottalico*,MIL,NL,0,0,0,0,,,43,0,,P,0.318,0
110,Jason Botts#,TEX,AL,30,0,3,0,0.296,0.663,40,0,,P,0,0
111,Blaine Boyer,ATL,NL,0,0,0,0,,,7,5,1,OF,0.209,-0.1
112,Milton Bradley#,LAD,NL,316,13,38,6,0.29,0.835,8,0,,P,0.339,
113,Russell Branyan*,MIL,NL,242,12,31,1,0.257,0.868,43,0,,P,0.389,0
114,Yhency Brazoban,LAD,NL,2,0,0,0,0,0,31,0,,P,0.298,
115,Craig Breslow*,SDP,NL,1,0,0,0,0,0,72,72,-3,OF,0.307,1.3
116,Eude Brito*,PHI,NL,7,0,0,0,0.143,0.286,64,58,-10,3B-1B-OF,0.314,0.2
117,Doug Brocail*,TEX,AL,0,0,0,0,,,20,8,,P,0.339,
118,Frank Brooks*,ATL,NL,0,0,0,0,,,74,0,,P,0.312,0
119,Ben Broussard*,CLE,AL,505,19,68,2,0.255,0.77,14,0,,P,0.226,0
120,Jim Brower,TOT,NL,2,0,0,0,0,0,6,5,,P,0.308,0
121,Jim Brower,SFG,NL,2,0,0,0,0,0,61,0,,P,0.315,0
122,Jim Brower,ATL,NL,0,0,0,0,,,1,0,,P,0.364,0
123,Emil Brown,KCR,AL,609,17,86,10,0.286,0.804,138,112,-2,1B,0.268,1.1
124,Kevin Brown,NYY,AL,2,0,0,0,0.5,1.5,69,0,,P,0.256,0
125,Jonathan Broxton,LAD,NL,0,0,0,0,,,139,135,-14,OF,0,0.2
126,Brian Bruney,ARI,NL,1,0,0,0,0,0,13,13,,P,0.239,0.1
127,Eric Bruntlett,HOU,NL,121,4,14,7,0.22,0.705,14,0,,P,0.41,0
128,Jaime Bubela*,SEA,AL,20,0,0,1,0.105,0.255,47,0,,P,0.306,0
129,John Buck,KCR,AL,430,12,47,2,0.242,0.676,70,21,7,OF-2B-SS-3B-1B,0.145,0.5
130,Mark Buehrle*,CHW,AL,3,0,0,0,0,0,7,5,-2,OF,0.298,-0.1
131,Jason Bulger,ARI,NL,0,0,0,0,,,117,112,3,C,0,0.3
132,Bryan Bullington,PIT,NL,0,0,0,0,,,33,33,,P,0.181,-0.1
133,Nate Bump*,FLA,NL,6,0,0,0,0.2,0.4,4,0,,P,0.379,
134,Ambiorix Burgos,KCR,AL,0,0,0,0,,,9,0,,P,0.346,0
135,Chris Burke,HOU,NL,359,5,26,11,0.248,0.676,1,0,,P,0.355,0
136,Jamie Burke,CHW,AL,1,0,0,0,0,0,31,0,,P,0.181,0
137,A.J. Burnett,FLA,NL,79,1,2,0,0.147,0.451,59,0,,P,0.122,0
138,Jeromy Burnitz*,CHC,NL,671,24,87,5,0.258,0.757,94,82,9,OF-2B,0,0.4
139,Mike Burns,HOU,NL,0,0,0,0,,,1,0,0,1B,0,0
140,Pat Burrell,PHI,NL,669,32,117,0,0.281,0.892,32,32,,P,0,0.2
141,Sean Burroughs*,SDP,NL,317,1,17,4,0.25,0.618,160,155,1,OF,0.296,0.3
142,Freddie Bynum*,OAK,AL,7,0,1,0,0.286,0.714,27,0,,P,0.228,0
143,Marlon Byrd,TOT,NL,259,2,26,5,0.266,0.698,153,153,4,OF,0.162,3.6
144,Marlon Byrd,PHI,NL,15,0,0,0,0.308,0.708,78,70,-2,3B-SS-P,0.36,1
145,Marlon Byrd,WSN,NL,244,2,26,5,0.264,0.698,25,24,,P,0.254,
146,Paul Byrd,LAA,AL,4,0,0,0,0.25,0.5,5,1,1,OF-2B,0.354,0
147,Eric Byrnes,TOT,MLB,456,10,40,7,0.226,0.665,70,54,2,OF,0.354,-0.1
148,Eric Byrnes,TOT,AL,396,10,35,5,0.231,0.688,31,31,,P,0.323,0
149,Eric Byrnes,OAK,AL,215,7,24,2,0.266,0.81,41,0,,P,0.282,
150,Eric Byrnes,COL,NL,60,0,5,2,0.189,0.51,119,104,11,OF,0.284,0.6
151,Eric Byrnes,BAL,AL,181,3,11,3,0.192,0.545,29,29,,P,0,0
152,Daniel Cabrera,BAL,AL,1,0,0,0,0,0,15,0,,P,0,
153,Melky Cabrera#,NYY,AL,19,0,0,0,0.211,0.421,6,6,-6,OF,0.32,-0.5
154,Miguel Cabrera,FLA,NL,685,33,116,1,0.323,0.947,156,156,-11,OF-3B,0.355,5.2
155,Orlando Cabrera,LAA,AL,587,8,57,21,0.257,0.674,140,139,12,SS,0.324,2
156,Matt Cain,SFG,NL,16,0,0,0,0.067,0.2,7,7,,P,0.293,-0.1
157,Miguel Cairo,NYM,NL,367,2,19,13,0.251,0.62,90,81,1,2B-1B-OF-3B,0.332,-0.5
158,Kiko Calero,OAK,AL,1,0,0,0,0,0,58,0,,P,0.361,0
159,Carmen Cali*,STL,NL,0,0,0,0,,,6,0,,P,0.186,0
160,Napoleon Calzado,BAL,AL,5,0,0,0,0.2,0.4,2,1,-1,OF,0.329,-0.1
161,Mike Cameron,NYM,NL,343,12,39,13,0.273,0.819,76,76,0,OF,0.254,1.8
162,Robinson Canó*,NYY,AL,551,14,62,1,0.297,0.778,29,0,,P,0,
163,Jorge Cantu,TBD,AL,631,28,117,1,0.286,0.808,2,1,,P,0.184,
164,Jose Capellan,MIL,NL,0,0,0,0,,,131,130,-6,2B,0.184,0.8
165,Matt Capps,PIT,NL,0,0,0,0,,,137,134,-25,2B-3B,0.253,1.2
166,Chris Capuano*,MIL,NL,79,0,9,0,0.169,0.4,17,0,,P,0.269,0
167,Buddy Carlyle*,LAD,NL,0,0,0,0,,,4,0,,P,0.315,0
168,Chris Carpenter,STL,NL,93,0,2,0,0.065,0.211,35,35,,P,0.264,0
169,Giovanni Carrara,LAD,NL,2,0,0,0,0,0,10,0,,P,0.347,0
170,D.J. Carrasco,KCR,AL,8,0,0,0,0,0,33,33,,P,0.222,-0.4
171,Hector Carrasco,WSN,NL,10,0,0,0,0,0,72,0,,P,0.403,0
172,Jamey Carroll,WSN,NL,358,0,22,3,0.251,0.617,21,20,,P,0.228,-0.1
173,Lance Carter,TBD,AL,0,0,0,0,,,64,5,,P,0.349,-0.1
174,Marcos Carvajal,COL,NL,4,0,2,0,0.25,0.5,106,72,1,2B-SS-3B,0.144,0.8
175,Raul Casanova#,CHW,AL,5,0,0,0,0.2,0.4,39,0,,P,0.363,0
176,Sean Casey*,CIN,NL,587,9,58,2,0.312,0.795,39,0,,P,0.311,0
177,Kevin Cash,TBD,AL,33,2,2,0,0.161,0.599,6,0,0,C,0.367,-0.1
178,Scott Cassidy,TOT,MLB,2,0,0,0,0,0.5,134,132,4,1B,0.356,1.1
179,Scott Cassidy,SDP,NL,2,0,0,0,0,0.5,13,10,0,C,0.118,0
180,Vinny Castilla,WSN,NL,549,12,66,4,0.253,0.722,3,0,,P,0.708,
181,Alberto Castillo,TOT,AL,115,1,14,1,0.208,0.596,11,0,,P,0.419,0
182,Alberto Castillo,KCR,AL,114,1,14,1,0.21,0.602,138,135,3,3B,0.113,0.8
183,Alberto Castillo,OAK,AL,1,0,0,0,0,0,35,32,2,C,0.307,0.4
184,Frank Castillo,FLA,NL,1,0,0,0,0,0,1,1,,P,0.26,0
185,Jose Castillo,PIT,NL,398,11,53,2,0.268,0.724,100,99,-2,2B,0.177,0.7
186,Luis Castillo#,FLA,NL,524,4,30,10,0.301,0.765,120,116,8,2B,0.316,3.6
187,Bernie Castro#,BAL,AL,89,0,7,6,0.288,0.71,12,12,-5,2B-OF,0,0
188,Juan Castro,MIN,AL,292,5,33,0,0.257,0.665,97,82,-4,SS-3B-2B,0.302,0.8
189,Ramon Castro,NYM,NL,240,8,41,1,0.244,0.756,99,57,3,C,0,0.7
190,Frank Catalanotto*,TOR,AL,475,8,59,0,0.301,0.818,111,99,-6,OF,0,2.5
191,Roger Cedeno#,STL,NL,61,0,8,0,0.158,0.372,16,9,-2,OF,0.354,-1
192,Ronny Cedeno,CHC,NL,89,1,6,1,0.3,0.731,30,18,-5,SS-2B,0.177,0
193,Matthew Cepicky*,WSN,NL,26,0,3,0,0.24,0.629,6,6,1,OF,0.188,-0.1
194,Gustavo Chacin*,TOR,AL,8,0,0,0,0,0,20,0,,P,0.455,
195,Shawn Chacon,TOT,MLB,25,0,1,0,0.15,0.377,34,34,,P,0.287,-0.1
196,Shawn Chacon,COL,NL,25,0,1,0,0.15,0.377,27,24,,P,0.267,-0.1
197,Angel Chavez,SFG,NL,20,0,1,0,0.263,0.579,10,4,-3,SS-2B-3B,0.314,-0.2
198,Endy Chavez*,TOT,NL,130,0,11,2,0.216,0.562,57,13,0,OF,0.138,-0.4
199,Endy Chavez*,WSN,NL,12,0,1,0,0.222,0.75,153,153,17,3B,0.303,4.8
200,Endy Chavez*,PHI,NL,118,0,10,2,0.215,0.542,36,30,3,C,0,-0.5
201,Eric Chavez*,OAK,AL,694,27,101,6,0.269,0.794,34,32,,P,0.178,0.1
202,Raul Chavez,HOU,NL,105,2,6,1,0.172,0.472,3,1,0,OF,0,0.1
203,Bruce Chen*,BAL,AL,4,0,0,0,0.333,0.833,3,0,,P,0.18,0
204,Chin-Feng Chen,LAD,NL,8,0,2,0,0.25,0.5,8,0,,P,0.276,0
205,Matt Childers,ATL,NL,0,0,0,0,,,83,78,1,1B,0.301,0.8
206,Randy Choate*,ARI,NL,0,0,0,0,,,5,5,0,OF,0.344,-0.1
207,Hee-Seop Choi*,LAD,NL,368,15,42,1,0.253,0.789,68,0,,P,0.356,0
208,Shin-Soo Choo*,SEA,AL,21,0,1,0,0.056,0.246,62,0,,P,0.326,0
209,Jason Christiansen,TOT,MLB,0,0,0,0,,,85,63,0,OF,0.353,1.4
210,Jason Christiansen,SFG,NL,0,0,0,0,,,88,64,-1,SS-3B-2B,0.354,-0.2
211,Vinnie Chulk,TOR,AL,0,0,0,0,,,54,41,-1,3B-2B-1B,0.293,1.4
212,Ryan Church*,WSN,NL,301,9,42,3,0.287,0.82,145,145,19,OF,0.304,2.4
213,Alex Cintron#,ARI,NL,348,8,48,1,0.273,0.713,3,0,0,2B-OF,0.316,
214,Jeff Cirillo,MIL,NL,219,4,23,4,0.281,0.8,83,70,3,1B,0.255,0.1
215,Brady Clark,MIL,NL,674,13,53,10,0.306,0.798,29,29,,P,0.323,3.4
216,Doug Clark*,SFG,NL,6,0,0,0,0,0.167,141,131,-1,SS,0.367,-0.4
217,Jermaine Clark*,OAK,AL,1,0,0,0,,,32,32,,P,0.37,0.1
218,Tony Clark#,ARI,NL,393,30,87,0,0.304,1.003,32,32,,P,0.347,0.5
219,Brandon Claussen,CIN,NL,64,0,0,0,0.091,0.229,80,64,-7,C,0.29,0
220,Royce Clayton,ARI,NL,573,2,44,13,0.27,0.67,57,0,,P,0.401,-0.4
221,Roger Clemens,HOU,NL,69,0,4,0,0.207,0.523,36,0,,P,0.382,0
222,Matt Clement,BOS,AL,4,0,0,0,0,0.25,33,33,,P,0.33,0
223,JD Closser#,COL,NL,272,7,27,1,0.219,0.689,35,7,,P,0,0
224,Todd Coffey,CIN,NL,3,0,0,0,0,0,94,73,-6,OF-1B,0.179,-0.1
225,Jesus Colome,TBD,AL,0,0,0,0,,,32,32,,P,0.369,-0.4
226,Bartolo Colon,LAA,AL,3,0,1,0,0.333,0.667,13,13,,P,0.288,0
227,Roman Colon,TOT,MLB,8,0,0,0,0,0,8,1,,P,0.308,0
228,Roman Colon,ATL,NL,8,0,0,0,0,0,87,64,9,2B-SS-3B-OF,0.225,0.1
229,Jeff Conine,FLA,NL,384,3,33,2,0.304,0.777,10,1,,P,0.167,1.6
230,José Contreras,CHW,AL,4,0,0,0,0,0.25,74,0,,P,0.233,
231,Aaron Cook,COL,NL,36,0,0,0,0.167,0.427,69,0,,P,0,0
232,Brian Cooper,SFG,NL,2,0,0,0,0.5,1,12,7,1,1B,0.157,0
233,Alex Cora*,TOT,AL,273,3,24,7,0.232,0.607,67,0,,P,0.102,-0.8
234,Alex Cora*,CLE,AL,157,1,8,6,0.205,0.538,57,0,,P,0.303,0.1
235,Alex Cora*,BOS,AL,116,2,16,1,0.269,0.704,16,11,,P,0.357,-0.1
236,Chad Cordero,WSN,NL,0,0,0,0,,,50,0,,P,0.415,0
237,Francisco Cordero,TEX,AL,0,0,0,0,,,5,3,0,2B-SS-3B,0.382,0
238,Wil Cordero,WSN,NL,56,0,2,0,0.118,0.318,20,18,-2,OF,0.058,-0.4
239,Lance Cormier,ARI,NL,7,0,1,0,0.333,0.667,87,77,-3,C,0.358,-0.4
240,Rheal Cormier*,PHI,NL,3,0,0,0,0,0,69,0,,P,0.343,0.2
241,Kevin Correia,SFG,NL,18,0,0,0,0.071,0.307,144,140,19,2B-SS,0,0
242,David Cortes,COL,NL,2,0,0,0,0,0,75,0,,P,0,5.5
243,Fernando Cortez*,TBD,AL,14,0,1,0,0.077,0.22,154,150,18,OF,0.245,0
244,Shane Costa*,KCR,AL,88,2,7,0,0.235,0.621,131,123,5,3B-SS,0.342,4.4
245,Humberto Cota,PIT,NL,320,7,43,0,0.242,0.672,20,0,,P,0.349,1.6
246,Neal Cotts*,CHW,AL,0,0,0,0,,,145,143,18,OF,0.17,0
247,Craig Counsell*,ARI,NL,670,9,42,26,0.256,0.726,84,84,15,SS,0.244,4.4
248,Jesse Crain,MIN,AL,0,0,0,0,,,67,23,5,OF,0.275,3.7
249,Carl Crawford*,TBD,AL,687,15,81,46,0.301,0.8,4,0,,P,0,-0.4
250,Joe Crede,CHW,AL,471,22,62,1,0.252,0.756,74,58,-1,2B-SS-3B,0.246,0
251,Doug Creek*,DET,AL,0,0,0,0,,,25,12,1,OF-1B,0,0.1
252,Coco Crisp#,CLE,AL,656,16,69,15,0.3,0.81,107,103,-12,OF,0,0.2
253,Bobby Crosby,OAK,AL,371,9,38,0,0.276,0.802,28,0,,P,0.333,0.7
254,Bubba Crosby*,NYY,AL,103,1,6,4,0.276,0.63,8,1,1,OF,0.061,0
255,Jim Crowell*,FLA,NL,0,0,0,0,,,124,119,9,3B-OF-2B-1B,0,0
256,Deivi Cruz,TOT,NL,275,5,20,0,0.265,0.671,1,0,0,OF,0.065,0.7
257,Deivi Cruz,SFG,NL,221,5,19,0,0.268,0.698,3,1,1,2B-SS,0.406,-0.1
258,Deivi Cruz,WSN,NL,54,0,1,0,0.255,0.558,147,144,-27,OF,0.316,-0.1
259,Jacob Cruz*,CIN,NL,145,4,18,0,0.236,0.734,22,0,,P,0.323,4
260,José Cruz#,TOT,MLB,437,18,50,0,0.251,0.837,6,4,-1,1B,0.293,
261,José Cruz#,TOT,NL,424,18,50,0,0.251,0.843,63,33,0,OF,0.722,-0.1
262,José Cruz#,ARI,NL,245,12,28,0,0.213,0.783,21,14,,P,0.366,0.5
263,José Cruz#,BOS,AL,13,0,0,0,0.25,0.641,35,35,,P,0.222,0.1
264,José Cruz#,LAD,NL,179,6,22,0,0.301,0.923,10,7,4,OF,0.328,-0.1
265,Juan Cruz,OAK,AL,0,0,0,0,,,11,4,,P,0.397,-0.4
266,Nelson Cruz,MIL,NL,7,0,0,0,0.2,0.829,15,0,,P,0.306,0
267,Michael Cuddyer,MIN,AL,470,12,42,3,0.263,0.752,17,8,,P,0.352,0
268,Midre Cummings*,BAL,AL,2,0,0,0,0,0,38,0,,P,0.266,0
269,Brian Dallimore,SFG,NL,7,0,0,0,0.143,0.429,27,0,,P,0.364,0
270,Johnny Damon*,BOS,AL,688,10,75,18,0.316,0.805,3,0,,P,0.329,0
271,Brian Daubach*,NYM,NL,34,1,3,0,0.12,0.644,66,0,,P,0.195,
272,Jeff DaVanon#,LAA,AL,271,2,15,11,0.231,0.658,119,118,10,OF,0.346,0
273,Kyle Davies,ATL,NL,28,0,4,0,0.2,0.478,10,0,,P,0.39,4.4
274,Doug Davis,MIL,NL,76,0,3,0,0.137,0.354,141,140,-15,1B,0.289,
275,J.J. Davis,WSN,NL,28,0,2,1,0.231,0.516,52,49,-4,OF,0.608,2.8
276,Jason Davis,CLE,AL,3,0,0,0,0,0,8,0,,P,0,2.5
277,Kane Davis,MIL,NL,0,0,0,0,,,63,6,,P,0.329,
278,Zach Day,TOT,NL,12,0,0,0,0.182,0.364,12,7,0,OF,0,-0.2
279,Zach Day,WSN,NL,9,0,0,0,0.125,0.25,60,40,2,OF-SS-2B-3B-1B,0.383,0.5
280,Zach Day,COL,NL,3,0,0,0,0.333,0.667,28,7,,P,0.313,1.3
281,Jorge De La Rosa*,MIL,NL,0,0,0,0,,,5,0,,P,0.341,-0.2
282,Valerio De Los Santos*,FLA,NL,0,0,0,0,,,53,31,-1,C-1B,0.349,0
283,Mike DeJean,TOT,NL,0,0,0,0,,,21,17,-3,OF,0.401,-0.7
284,Mike DeJean,NYM,NL,0,0,0,0,,,81,77,0,OF,0.133,-0.2
285,Mike DeJean,COL,NL,0,0,0,0,,,9,4,,P,0.322,0.5
286,David DeJesus*,KCR,AL,523,9,56,5,0.293,0.804,11,5,0,C,0.332,
287,Carlos Delgado*,FLA,NL,616,33,115,0,0.301,0.981,10,3,-2,2B-3B-OF-1B,0,-0.2
288,David Dellucci*,TEX,AL,518,29,65,5,0.251,0.879,8,1,,P,0.182,-0.1
